series,episode,baker,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
5,8,Martha,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Martha Collison,17,Student,"Ascot, Berkshire",5,OUT
5,8,Nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",3,IN
5,8,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,Richard Burr,38,Builder,"Mill Hill, London",4,STAR BAKER
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",4,OUT
5,9,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Diana,NA,NA,NA,NA,NA,NA,NA,IN
5,9,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",1,IN
5,9,Martha,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",3,IN
5,9,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Richard Burr,38,Builder,"Mill Hill, London",2,STAR BAKER
5,10,Chetna,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Diana,NA,NA,NA,NA,NA,NA,NA,IN
5,10,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,Runner-up
5,10,Martha,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,WINNER
5,10,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,Richard Burr,38,Builder,"Mill Hill, London",3,Runner-up
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",2,IN
6,1,Dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,Dorret Conway,53,Accountant,"Penwortham, Lancashire",5,IN
6,1,Flora,Blood Orange Madeira Cake,Black Forest Gâteau,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,IN
6,1,Ian,Somewhere West of Madeira Cake,Black Forest Cherry Tree,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",8,IN
6,1,Marie,Zingy Citrus Madeira Cake,A Walk in the Black Forest,Marie Campbell,66,Retired,"Auchterarder, Perthshire",3,STAR BAKER
6,1,Mat,Gin and Tonic Madeira Cake,Black Forest Gateau,Mat Riley,37,Fire fighter,London,7,IN
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,Nadiya Hussain,30,Full-time mother,Leeds / Luton,12,IN
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",9,IN
6,1,Stu,Marley Madeira Cake,Purple Forest Gâteau,Stu Henshall,35,Professional musician,"Guildford, Surrey",11,OUT
6,1,Tamal,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,Tamal Ray,29,Trainee anaesthetist,Manchester,4,IN
6,1,Ugnė,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",1,IN
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,IN
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,Dorret Conway,53,Accountant,"Penwortham, Lancashire",1,IN
6,2,Flora,Wedding Biscotti,Honey and Earl Grey Tea Box,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
6,2,Ian,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,STAR BAKER
6,2,Marie,Biscotti Italiano,Russian Box,Marie Campbell,66,Retired,"Auchterarder, Perthshire",11,OUT
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,Mat Riley,37,Fire fighter,London,5,IN
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,Nadiya Hussain,30,Full-time mother,Leeds / Luton,9,IN
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",4,IN
6,2,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,Tamal Ray,29,Trainee anaesthetist,Manchester,8,IN
6,2,Ugnė,White Wine Biscotti,Baby Climbing into the Cookie Box,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",7,IN
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",4,IN
6,3,Dorret,Walnut and Stilton Soda Breads,Unmade Bread,Dorret Conway,53,Accountant,"Penwortham, Lancashire",6,OUT
6,3,Flora,Fig and Hazelnut Rye Breads,Herb Couture,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
6,3,Ian,Wild Garlic Pesto Soda Breads,Flour Power,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",1,STAR BAKER
6,3,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,Mat Riley,37,Fire fighter,London,8,IN
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,Nadiya Hussain,30,Full-time mother,Leeds / Luton,9,IN
6,3,Paul,Cranberry and Orange Sweet Soda Breads,King of the Jungle,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",7,IN
6,3,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,3,Tamal,"Fig, Cheese and Walnut Breads",Breadcycle,Tamal Ray,29,Trainee anaesthetist,Manchester,3,IN
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",5,IN
6,4,Alvin,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",9,IN
6,4,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Flora,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
6,4,Ian,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",4,STAR BAKER
6,4,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Mat,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,Mat Riley,37,Fire fighter,London,7,IN
6,4,Nadiya,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,Nadiya Hussain,30,Full-time mother,Leeds / Luton,8,IN
6,4,Paul,Almond Crème Brûlées,Berry Cheesecake Tower,Paul Jagger,49,Prison governor,"Swansea, Wales",1,IN
6,4,Sandy,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",6,OUT
6,4,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",Tamal Ray,29,Trainee anaesthetist,Manchester,5,IN
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",2,IN
6,5,Alvin,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",8,IN
6,5,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
6,5,Ian,Honey and Flowers Cake,Dessert Island,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5,IN
6,5,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Mat,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,Mat Riley,37,Fire fighter,London,4,IN
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,STAR BAKER
6,5,Paul,Carrot & Pecan Cake,Dessert Island Getaway,Paul Jagger,49,Prison governor,"Swansea, Wales",2,IN
6,5,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Tamal,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,Tamal Ray,29,Trainee anaesthetist,Manchester,7,IN
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,OUT
6,6,Alvin,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,OUT
6,6,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Flora,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
6,6,Ian,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,IN
6,6,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Mat,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,Mat Riley,37,Fire fighter,London,1,STAR BAKER
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,Nadiya Hussain,30,Full-time mother,Leeds / Luton,4,IN
6,6,Paul,Christmas Frangipane Tart,Savoury and Sweet Bouchées,Paul Jagger,49,Prison governor,"Swansea, Wales",5,IN
6,6,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Tamal,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Tamal Ray,29,Trainee anaesthetist,Manchester,7,IN
6,6,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Flora,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",4,IN
6,7,Ian,Roadkill Pie,Victoria's Crown Charlotte Russe,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5,IN
6,7,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Mat,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,Mat Riley,37,Fire fighter,London,6,OUT
6,7,Nadiya,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,IN
6,7,Paul,Not a Boaring Pie,Charlotte Rose,Paul Jagger,49,Prison governor,"Swansea, Wales",2,IN
6,7,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,7,Tamal,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Tamal Ray,29,Trainee anaesthetist,Manchester,3,STAR BAKER
6,7,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
6,8,Ian,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2,IN
6,8,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,STAR BAKER
6,8,Paul,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,Paul Jagger,49,Prison governor,"Swansea, Wales",5,OUT
6,8,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Tamal Ray,29,Trainee anaesthetist,Manchester,4,IN
6,8,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Flora,Passion Fruit and Chocolate Tart,Cocoa Carousel,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",1,OUT
6,9,Ian,Chocolate and Bay Tart,Chocolate Well,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,IN
6,9,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,Nadiya Hussain,30,Full-time mother,Leeds / Luton,4,STAR BAKER
6,9,Paul,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,9,Tamal,Chocolate New York Pie,Chocolate Bell Tower,Tamal Ray,29,Trainee anaesthetist,Manchester,2,IN
6,9,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Alvin,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Flora,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Ian,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2,Runner-up
6,10,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Mat,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,WINNER
6,10,Paul,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,Tamal Ray,29,Trainee anaesthetist,Manchester,3,Runner-up
6,10,Ugnė,NA,NA,NA,NA,NA,NA,NA,NA
7,1,Andrew,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",12,IN
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,Benjamina Ebuehi,23,Teaching assistant,South London,6,IN
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,IN
7,1,Jane,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,Jane Beedle,61,Garden designer,Beckenham,7,STAR BAKER
7,1,Kate,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,Kate Barmby,37,Nurse,"Brooke, Norfolk",4,IN
7,1,Lee,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,Lee Banfield,67,Pastor,Bolton,11,OUT
7,1,Louise,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,Louise Williams,46,Hairdresser,Cardiff,9,IN
7,1,Michael,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,Michael Georgiou,20,Student,Durham,3,IN
7,1,Rav,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,Rav Bansal,28,Student support,Erith,8,IN
7,1,Selasi,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Selasi Gbormittah,30,Client service associate,London,1,IN
7,1,Tom,G&T Drizzle Cake,Black Forest Broken Mirror,Tom Gilliford,26,Project engagement manager,Rochdale,2,IN
7,1,Val,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,10,IN
7,2,Andrew,Beehive Biscuits,Punting in Cambridge,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",4,IN
7,2,Benjamina,Bouquet Biscuits,"New York, New York",Benjamina Ebuehi,23,Teaching assistant,South London,3,IN
7,2,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",8,STAR BAKER
7,2,Jane,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,Jane Beedle,61,Garden designer,Beckenham,2,IN
7,2,Kate,"""A Biscuit for the Broads""","""I Promise I will do my best""",Kate Barmby,37,Nurse,"Brooke, Norfolk",1,IN
7,2,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,2,Louise,Baa Bara Brith Biscuits,Gingerbread Wedding,Louise Williams,46,Hairdresser,Cardiff,10,OUT
7,2,Michael,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,Michael Georgiou,20,Student,Durham,9,IN
7,2,Rav,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,Rav Bansal,28,Student support,Erith,6,IN
7,2,Selasi,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,Selasi Gbormittah,30,Client service associate,London,11,IN
7,2,Tom,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,Tom Gilliford,26,Project engagement manager,Rochdale,7,IN
7,2,Val,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,5,IN
7,3,Andrew,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",2,IN
7,3,Benjamina,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,Benjamina Ebuehi,23,Teaching assistant,South London,6,IN
7,3,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3,IN
7,3,Jane,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Jane Beedle,61,Garden designer,Beckenham,9,IN
7,3,Kate,Cobbled Loaf,The Corn Maiden,Kate Barmby,37,Nurse,"Brooke, Norfolk",8,IN
7,3,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,3,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,3,Michael,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Michael Georgiou,20,Student,Durham,7,OUT
7,3,Rav,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,Rav Bansal,28,Student support,Erith,10,IN
7,3,Selasi,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,Selasi Gbormittah,30,Client service associate,London,5,IN
7,3,Tom,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,Tom Gilliford,26,Project engagement manager,Rochdale,4,STAR BAKER
7,3,Val,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,1,IN
7,4,Andrew,Yorkshire 'Tapas' Puddings,Churros Window Box,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",4,IN
7,4,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,Benjamina Ebuehi,23,Teaching assistant,South London,1,STAR BAKER
7,4,Candice,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,IN
7,4,Jane,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,Jane Beedle,61,Garden designer,Beckenham,3,IN
7,4,Kate,Christmas Dinner Compromise,Hot Cross Bunny Churros,Kate Barmby,37,Nurse,"Brooke, Norfolk",7,OUT
7,4,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,4,Rav,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,Rav Bansal,28,Student support,Erith,9,IN
7,4,Selasi,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,Selasi Gbormittah,30,Client service associate,London,8,IN
7,4,Tom,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,Tom Gilliford,26,Project engagement manager,Rochdale,5,IN
7,4,Val,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,6,IN
7,5,Andrew,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",6,IN
7,5,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,Benjamina Ebuehi,23,Teaching assistant,South London,5,IN
7,5,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,STAR BAKER
7,5,Jane,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",Jane Beedle,61,Garden designer,Beckenham,1,IN
7,5,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,5,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,Rav Bansal,28,Student support,Erith,8,IN
7,5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",Selasi Gbormittah,30,Client service associate,London,3,IN
7,5,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,Tom Gilliford,26,Project engagement manager,Rochdale,4,IN
7,5,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,OUT
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",6,IN
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,Benjamina Ebuehi,23,Teaching assistant,South London,2,IN
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,IN
7,6,Jane,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,Jane Beedle,61,Garden designer,Beckenham,4,IN
7,6,Kate,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Lee,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Louise,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Michael,NA,NA,NA,NA,NA,NA,NA,NA
7,6,Rav,Mandarin Margarita Meringue Pie,Blossom Cake,Rav Bansal,28,Student support,Erith,3,OUT
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,Selasi Gbormittah,30,Client service associate,London,7,IN
